,Lousic C.K.,Dave Chappelle,Ricky Gervais,Bo Burham,Bill Burr,Jim Jefferies,John Mulaney,Hasan Minhaj,Ali Wong,Anthony Jeselnik,Mike Birbiglia,Joe Rogan
devastating,0,0,0,0,0,0,0,0,0,0,1,0
develop,0,0,0,0,1,0,0,0,0,0,1,0
device,0,0,0,0,0,0,0,0,0,0,1,0
devil,0,0,2,0,1,0,0,0,0,0,0,0
devlin,0,0,0,0,0,0,1,0,0,0,0,0
dewey,0,0,0,1,0,0,0,0,0,0,0,0
diabetic,0,0,0,1,0,0,0,0,0,0,0,0
diablo,0,0,0,0,0,0,0,0,0,0,0,2
diagram,0,0,0,0,0,0,0,0,0,0,1,0
dial,0,0,0,0,1,0,0,0,0,0,1,0
dialog,0,0,0,0,0,1,0,0,0,0,0,0
diamond,0,0,0,0,0,9,0,0,0,0,0,1
diaper,0,0,0,0,1,0,0,0,1,0,0,0
diarrhea,0,0,0,0,0,0,0,0,0,0,1,0
dice,0,0,0,1,2,0,1,0,0,0,0,0
dick,4,6,0,2,7,6,7,3,1,1,0,12
dickinson,0,0,0,0,0,0,1,0,0,0,0,0
dickless,0,0,0,0,1,0,0,0,0,0,0,0
dictate,0,0,0,0,0,0,0,0,0,0,1,0
dictator,0,0,0,0,0,0,0,0,1,0,0,0
dictatorship,0,0,0,0,0,0,0,0,1,0,0,0
dictionary,0,0,0,0,0,1,0,0,0,0,0,0
die,19,2,21,3,11,3,5,8,9,11,4,11
dieerator,0,0,0,0,0,0,0,0,0,0,1,0
diet,0,0,0,0,0,0,0,0,1,0,0,0
difference,1,1,2,1,0,2,0,1,1,0,1,1
different,7,6,8,1,0,8,5,6,6,0,3,15
differently,1,0,0,0,0,1,0,0,0,0,0,0
difficult,0,2,0,0,1,0,0,1,1,0,4,1
difficulty,0,0,0,0,1,0,0,0,0,0,0,0
dig,0,0,0,1,0,0,0,0,0,0,0,0
digestive,0,0,0,0,0,0,0,0,0,0,1,0
digital,0,0,0,0,0,0,0,1,0,0,0,0
digitally,0,0,0,0,0,0,0,0,1,0,0,0
dildo,0,0,0,1,0,0,0,0,0,0,1,0
dilemma,0,1,0,0,0,0,0,0,0,0,0,0
dimension,1,0,0,0,0,0,0,0,0,0,0,0
dimple,0,0,0,0,0,0,0,1,0,0,0,0
diner,0,0,0,0,0,0,1,0,0,0,0,0
dingdong,0,0,0,0,0,0,0,1,0,0,0,0
dining,0,0,0,1,0,0,0,0,0,0,0,0
dinkin,0,1,0,0,0,0,0,0,0,0,0,0
dinner,0,5,1,0,0,0,11,3,0,0,5,1
diplomatic,0,0,0,0,0,0,0,0,0,0,0,1
direct,0,0,1,0,0,0,0,1,0,0,0,0
direction,3,0,0,0,0,0,0,0,0,0,0,0
directly,0,1,2,1,0,1,0,0,0,0,0,0
director,0,0,0,0,0,1,0,0,0,0,0,0
dirt,1,0,0,0,0,0,0,0,0,0,0,0
dirty,3,1,0,1,0,1,1,0,0,0,0,2
disability,0,0,0,0,0,1,0,0,0,0,0,0
disable,0,0,0,0,0,1,0,0,0,0,0,0
disabled,0,0,0,0,0,12,0,0,0,3,0,0
disagree,0,0,0,0,0,0,0,1,0,0,0,0
disappear,0,0,0,0,0,0,0,0,3,0,0,0
disappoint,1,0,0,0,0,0,0,0,0,0,1,0
disappointed,0,0,0,0,0,0,0,0,0,0,0,1
disaster,0,0,0,0,0,0,0,0,0,1,0,0
discard,0,0,0,0,1,0,0,0,0,0,0,0
discerningreason,0,0,0,0,0,0,0,0,0,0,0,1
discipline,0,0,0,0,1,0,0,0,0,0,0,0
discourage,0,0,0,0,0,0,0,0,2,0,0,0
discover,0,0,0,0,0,0,0,0,3,0,0,0
discovery,0,0,0,0,1,0,0,0,0,0,0,0
discretely,0,0,0,0,0,0,0,0,2,0,0,0
discretion,0,0,0,0,0,0,1,0,0,0,0,0
discriminate,0,1,0,0,0,0,0,0,0,0,0,0
discrimination,0,2,0,0,0,0,0,0,0,0,0,0
discuss,0,0,0,1,0,0,0,0,0,0,0,1
disease,1,0,0,0,1,1,0,0,1,0,0,0
disembodied,0,0,0,1,0,0,0,0,0,0,0,0
disfigure,0,0,0,0,0,0,0,0,0,0,1,0
disgrace,0,0,0,0,0,0,3,0,0,0,0,0
disgust,0,3,0,0,0,0,0,0,0,0,0,0
disgusting,1,0,3,0,0,1,0,0,1,0,0,1
dish,0,0,0,0,0,0,3,0,1,0,0,0
dislike,0,0,0,0,0,0,0,0,0,0,3,0
disliked,0,0,0,0,0,0,0,0,0,0,1,0
disney,0,0,0,0,2,0,0,0,0,0,0,0
dispel,0,1,0,0,0,0,0,0,0,0,0,0
dispenser,1,0,0,0,0,0,0,0,0,0,0,0
disrespect,0,1,0,0,0,0,0,0,0,0,0,0
disseminate,0,0,0,0,0,0,0,1,0,0,1,0
dissolve,0,0,0,0,0,0,0,0,1,0,0,0
distance,0,0,0,1,0,0,1,0,0,0,0,0
distend,0,0,2,0,0,0,0,0,0,0,0,0
distinct,0,0,1,0,0,0,0,0,0,0,1,0
distinctly,0,0,0,0,0,0,0,0,0,0,1,0
distract,0,0,0,0,0,0,0,0,1,0,0,0
distraction,0,0,0,0,0,0,0,0,0,1,0,0
distributor,0,1,0,0,0,0,0,0,0,0,0,0
disturb,0,0,1,0,0,0,0,0,1,0,0,1
diverse,0,1,0,0,0,0,0,0,0,0,0,0
diversity,0,0,0,0,0,0,0,0,0,0,0,1
divide,0,0,0,0,0,0,0,0,0,0,1,0
divorce,9,0,0,0,0,0,0,0,0,0,3,0
dj,0,0,0,0,1,4,0,0,0,0,0,0
dmv,0,0,0,0,0,0,0,0,0,0,1,0
dmx,0,1,0,0,0,0,0,0,0,0,0,0
dock,0,0,0,0,0,1,0,0,0,0,0,0
doctor,0,0,12,1,0,0,1,5,7,0,3,0
documentary,0,0,0,0,0,0,0,0,1,0,0,3
documentation,0,0,0,0,0,0,0,0,0,0,1,0
dog,12,1,12,4,4,11,6,0,0,0,2,2
doin,0,0,0,0,0,0,0,0,1,1,0,0
doll,0,0,0,0,0,0,1,0,0,4,0,1
dollar,0,2,0,2,2,0,1,0,0,0,0,2
dolphin,0,0,0,0,0,0,0,0,1,0,0,13
domestic,0,0,0,0,1,0,0,0,1,0,0,0
domestically,0,0,0,0,0,2,0,0,0,0,0,0
dominance,0,0,0,0,0,0,1,0,0,0,0,0
dominate,0,0,0,0,1,0,0,0,0,0,0,0
domino,0,0,0,0,1,0,0,0,0,0,0,0
donut,0,0,0,0,1,0,0,0,0,0,0,0
doo,0,0,0,0,0,0,0,0,10,0,0,0
doodle,0,0,0,0,0,0,0,0,0,0,0,1
doom,0,0,0,0,0,0,0,0,0,0,1,0
door,0,7,4,0,4,4,3,11,0,3,6,8
doorbell,0,0,0,0,0,0,0,2,0,0,0,0
doorjamb,0,0,0,0,1,0,0,0,0,0,0,0
doorman,5,0,0,0,0,0,0,0,0,0,0,0
doorstep,0,0,0,0,0,0,0,3,0,0,0,0
dorm,0,0,0,0,0,0,1,0,0,2,0,0
dose,0,0,0,1,0,0,0,0,0,0,0,0
doth,0,0,0,0,0,0,0,0,0,0,1,0
double,0,0,0,0,0,1,1,0,2,0,0,0
doubleincome,0,0,0,0,0,0,0,0,1,0,0,0
doubt,0,0,0,0,1,0,0,0,0,0,0,2
douche,0,0,0,0,1,0,0,0,0,0,0,0
douchebaggery,0,0,0,0,1,0,0,0,0,0,0,0
dough,0,0,0,0,0,0,0,0,0,0,2,0
doula,0,0,0,0,0,0,0,0,2,0,0,0
downer,0,0,1,0,0,0,0,0,0,0,0,0
downgrade,0,0,0,0,0,9,0,0,0,0,0,0
download,0,0,0,0,0,0,0,1,1,0,0,0
downstairs,0,0,0,0,7,0,0,0,0,0,0,0
downtown,0,0,0,0,0,0,1,0,0,0,0,0
downward,0,0,0,0,0,2,0,0,0,0,1,0
dozen,0,1,0,0,0,0,0,0,0,0,0,0
dr,0,1,0,0,0,0,4,0,0,0,0,0
draft,0,0,0,0,4,0,0,0,0,0,1,2
drag,1,0,0,0,1,3,0,1,0,0,0,0
drain,1,0,0,0,0,0,0,0,1,0,0,0
drake,0,1,0,0,0,0,0,1,0,0,0,0
drakkar,0,0,0,0,0,0,0,0,0,0,1,0
drama,0,0,0,0,4,0,0,0,0,0,0,0
drastically,0,0,1,0,0,0,0,0,0,0,0,0
draw,0,3,3,1,0,1,0,0,1,0,2,8
dream,0,3,1,2,4,3,1,15,3,7,0,2
dress,1,0,1,0,2,1,1,2,1,2,2,3
dressing,0,2,0,0,0,0,0,0,0,0,0,0
drift,1,0,0,0,0,0,0,0,0,0,0,0
drifter,0,0,0,0,0,0,1,0,0,0,0,0
drink,0,2,3,1,2,3,1,0,0,2,2,0
drinkin,0,0,0,0,1,0,0,0,0,0,0,0
drinking,0,0,2,0,0,0,0,0,0,0,1,0
dripping,0,0,0,0,0,0,0,0,0,1,0,0
drive,6,5,2,1,5,5,2,4,0,2,9,0
driver,0,2,2,0,1,0,0,0,1,0,5,0
drivethru,0,0,0,0,0,0,1,0,0,0,0,0
driveway,0,0,0,0,0,0,0,1,0,0,0,0
driving,0,0,1,0,0,0,0,0,0,0,1,0
drone,0,0,0,0,0,2,0,0,0,0,0,0
drop,0,3,1,2,3,1,1,2,2,5,2,1
droppin,0,0,0,0,0,0,0,0,1,0,0,0
drown,0,0,1,1,0,0,0,0,0,1,0,0
drudge,0,0,0,0,0,0,1,0,0,0,0,0
drug,0,2,1,0,0,5,5,1,0,2,0,1
drum,0,0,0,1,0,0,0,0,0,0,0,0
drunk,0,2,0,0,0,1,0,0,0,0,4,0
drunken,0,0,0,0,0,1,0,0,0,0,0,0
dry,0,0,1,0,0,2,0,1,0,0,0,0
du,0,0,0,0,0,0,2,0,0,0,0,0
duck,0,0,1,0,4,0,6,0,0,0,1,1
duckle,0,0,0,0,0,0,3,0,0,0,0,0
duckling,0,0,0,0,0,0,3,0,0,0,0,0
dude,7,11,0,1,41,1,0,8,14,1,2,28
duffel,0,0,1,0,0,0,0,0,0,0,0,0
duh,0,1,0,0,0,0,0,3,0,0,0,0
duke,0,0,0,0,0,0,0,0,0,0,0,1
duly,0,0,0,0,0,0,0,1,0,0,0,0
dumb,1,0,1,5,5,0,1,0,2,3,3,8
dummy,0,1,0,0,1,0,0,1,0,0,0,2
dumpling,0,0,0,0,0,0,1,0,0,0,0,0
dumpy,1,0,0,0,0,0,0,0,0,0,0,0
dune,0,0,0,0,0,0,0,1,0,0,0,0
dust,0,0,0,0,0,0,0,1,0,0,0,0
dutch,0,0,0,0,0,0,2,0,0,0,0,0
duty,0,0,1,0,0,1,0,0,0,0,0,0
dvd,0,0,0,0,1,1,1,0,0,0,0,0
dwell,0,0,0,0,0,0,0,0,0,0,1,0
dynasty,0,0,0,0,3,0,0,0,0,0,0,0
dystrophy,0,0,0,0,0,4,0,0,0,0,0,0
eagle,0,0,0,0,0,0,1,0,0,0,0,2
ear,0,1,1,1,1,0,1,0,0,0,0,3
early,2,0,5,1,2,1,1,3,3,0,6,0
earn,0,0,1,4,0,6,0,0,2,0,0,0
earplug,0,0,0,0,4,0,0,0,0,0,0,0
earth,4,2,5,2,0,6,0,0,0,1,1,9
earthquake,0,0,0,1,0,0,0,0,0,0,0,0
ease,0,0,0,0,0,0,0,1,0,0,0,0
easier,0,0,0,0,1,0,0,1,0,0,0,0
easily,2,0,1,0,0,0,0,0,0,0,0,0
east,0,0,0,0,0,0,0,0,1,0,0,1
easter,0,0,0,0,1,0,0,0,2,0,0,0
eastern,0,0,0,0,1,0,0,0,0,0,0,0
easy,2,1,3,1,2,5,0,2,1,2,0,0
eat,7,6,12,3,3,1,16,4,12,3,5,6
eaten,0,0,1,0,0,0,0,1,0,0,0,0
ebola,0,0,0,0,0,0,0,1,0,0,0,0
echo,0,0,0,0,0,0,0,0,1,0,0,0
ecobro,0,0,0,0,0,0,0,0,0,0,0,1
ecobroe,0,0,0,0,0,0,0,0,0,0,0,1
economic,0,0,0,0,0,0,0,0,0,2,0,0
economy,0,1,0,0,0,2,0,0,0,0,0,0
ecstasy,0,0,0,0,0,0,0,0,1,0,0,0
ed,0,0,0,0,0,0,0,1,0,0,0,0
eddie,0,0,0,0,0,0,0,1,0,0,0,0
edge,0,0,1,0,0,0,0,0,0,0,1,1
edible,0,0,0,0,0,0,0,0,0,0,0,2
edit,0,0,1,0,0,0,1,0,0,0,0,1
edition,0,0,0,0,0,0,0,1,0,0,0,0
editor,0,0,0,2,0,0,0,0,0,0,0,0
edmund,0,0,0,0,0,0,1,0,0,0,0,0
edna,0,0,2,0,0,0,0,0,0,0,0,0
educate,0,1,0,0,0,0,0,0,0,0,0,0
education,1,1,0,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,0,0,0,1,0,0,0
effective,0,0,0,0,0,0,0,0,1,0,2,0
efficient,0,0,0,1,0,0,0,0,0,0,0,0
effort,0,0,0,0,0,1,0,0,0,0,0,0
egg,0,0,0,0,1,0,4,0,1,0,0,0
egghead,0,0,0,1,0,0,0,0,0,0,0,0
egypt,1,3,0,0,0,0,0,0,0,0,0,0
eh,0,1,0,0,1,1,0,0,0,0,0,1
eightday,0,0,0,0,1,0,0,0,0,0,0,0
eighteen,0,0,0,0,0,0,1,0,0,0,0,0
eighth,0,0,0,0,0,0,2,0,0,0,0,0
eightyearold,1,0,0,0,2,0,0,0,0,0,0,0
ejaculate,0,0,0,0,0,1,0,0,0,0,0,0
el,0,0,0,0,0,0,0,0,0,0,0,2
elaborate,0,0,0,0,0,1,0,0,0,0,0,0
elaborately,0,0,0,0,0,0,0,0,0,0,1,0
elated,0,0,0,0,1,0,0,0,0,0,0,0
elbow,2,0,0,0,1,0,0,0,0,0,0,0
elder,0,0,0,0,0,0,0,2,0,0,0,0
elderly,1,0,1,0,0,0,1,0,0,0,0,0
elect,0,0,0,0,1,0,1,0,0,0,0,0
electric,0,0,0,0,2,0,0,0,0,0,0,0
electrician,0,0,0,0,0,0,0,0,0,3,0,0
electrocute,0,0,0,0,0,0,0,0,0,0,1,0
electrocution,0,0,0,0,0,0,0,0,0,0,1,0
elementary,0,0,0,0,0,0,2,0,1,0,0,0
elephant,0,0,0,0,0,0,0,1,0,0,0,0
elevate,0,0,0,0,0,0,0,1,0,0,0,1
elevator,1,0,0,0,0,0,1,0,0,0,0,0
eliminate,0,0,0,0,1,0,0,0,0,0,0,0
eliot,0,0,0,1,0,0,0,0,0,0,0,0
ellen,0,0,0,1,0,0,2,0,1,0,0,0
elon,0,0,0,0,0,0,0,0,0,0,0,1
elvis,0,0,1,0,0,0,0,0,0,0,0,0
em,1,2,2,1,6,1,2,0,0,2,0,14
email,0,0,0,1,0,0,0,1,0,0,0,2
emasculate,0,1,0,0,0,0,0,0,0,0,0,0
embarrass,0,0,0,0,0,0,0,0,1,0,0,0
embarrassed,1,0,0,0,0,0,1,1,0,1,0,2
embarrassing,0,1,1,0,0,0,0,0,0,2,0,0
emblazon,0,0,0,0,0,0,0,1,0,0,0,0
embrace,0,3,0,0,0,0,0,0,0,0,0,0
embroil,0,0,1,0,0,0,0,0,0,0,0,0
emerge,0,0,0,1,0,0,0,0,0,0,0,0
emergency,0,0,1,0,0,0,0,0,0,0,0,0
emigrate,0,0,0,0,0,0,0,1,0,0,0,0
emily,0,0,0,0,0,0,1,0,0,0,0,0
emmy,0,1,0,0,0,0,0,0,0,0,0,0
emmyawardwinne,0,0,0,0,0,0,0,1,0,0,0,0
emo,0,0,0,0,0,0,0,1,0,0,0,0
emotion,0,0,1,1,0,1,1,0,0,0,0,0
emotional,0,0,1,1,0,0,0,0,2,0,0,0
emotionally,0,0,0,1,0,0,0,0,1,0,0,0
empathize,0,1,0,0,0,0,0,0,0,0,0,0
empathy,0,2,0,1,1,0,0,0,0,0,0,0
emperor,0,0,0,0,0,0,1,1,0,0,0,0
employ,1,0,0,0,0,0,0,0,0,0,0,0
employee,0,0,0,0,0,0,0,1,0,0,0,0
en,0,2,0,0,0,0,0,0,0,0,0,0
enchant,0,0,0,0,0,0,1,0,0,0,0,0
encourage,0,0,0,0,0,1,1,0,0,0,0,0
encouragement,1,0,0,0,0,0,0,0,0,0,0,0
end,13,4,3,11,3,5,5,2,2,8,14,1
endearment,0,0,0,0,0,0,0,1,0,0,0,0
ending,0,0,0,0,1,0,0,1,0,0,0,0
endure,0,0,0,0,0,0,0,1,0,0,0,0
enemy,0,0,1,0,0,1,0,1,0,0,0,0
energy,0,0,0,0,0,0,3,0,0,0,0,0
engage,0,0,2,0,0,2,1,0,1,0,2,0
engine,0,0,0,0,1,0,0,0,0,0,0,0
england,0,0,0,0,0,1,0,0,0,0,0,0
english,0,0,2,0,1,0,0,3,0,0,1,0
enjoy,0,1,2,3,3,9,2,0,0,3,2,2
enormous,0,0,2,0,0,0,0,0,0,0,0,0
enronwould,0,0,0,0,0,0,0,0,1,0,0,0
enslave,1,0,0,0,0,0,0,0,0,0,0,0
ensue,0,1,0,0,0,0,0,0,0,0,0,0
enter,0,1,0,0,0,0,0,1,0,0,0,0
entertain,0,0,0,1,0,0,0,0,0,0,0,0
entertainment,0,0,2,0,0,0,0,0,0,0,1,0
entire,1,1,0,1,3,1,7,5,0,6,3,0
entirely,0,0,0,0,0,0,0,0,0,0,3,1
entitled,0,0,0,0,0,0,0,1,0,0,0,0
entitlement,0,0,0,0,1,0,0,0,1,0,0,0
environment,1,0,1,0,1,0,0,0,0,0,0,1
environmental,0,0,0,0,0,0,0,0,0,0,0,1
epic,0,0,0,0,1,0,0,0,0,0,0,0
epicenter,0,0,0,0,0,0,0,0,1,0,0,0
epiphany,0,0,0,0,0,0,0,0,0,0,1,0
episode,0,0,0,0,0,0,3,1,0,0,0,1
equal,0,0,1,0,0,0,0,3,0,0,0,0
equality,0,0,0,0,0,0,0,1,0,0,0,2
equation,0,0,0,0,0,1,0,0,0,0,0,0
equip,0,0,1,0,0,0,0,0,0,0,0,0
equipment,0,0,0,0,0,0,0,0,0,0,2,0
equivalent,0,1,0,0,0,0,0,0,0,0,0,0
er,0,0,0,0,0,1,0,0,0,0,0,0
era,0,2,1,0,0,0,1,0,0,0,0,0
eraser,0,0,0,1,0,0,0,0,0,0,0,0
eric,0,0,0,0,0,0,0,0,0,3,0,0
erm,0,0,0,2,0,0,0,0,0,0,0,0
escape,0,0,1,0,0,0,0,0,2,0,0,0
escrow,0,0,0,0,0,0,0,0,1,0,0,0
esophagus,0,0,0,0,0,0,0,0,0,0,1,0
especially,2,0,0,2,1,0,1,1,3,2,0,0
essence,0,0,0,0,0,0,0,0,0,0,1,0
essentially,0,0,0,0,1,0,0,0,0,0,2,0
establish,0,0,0,0,2,0,0,0,0,0,0,0
estate,0,0,2,0,0,0,7,1,0,0,0,0
esteem,0,0,0,1,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,0,1,0,0,0,0,0
eternal,0,0,0,0,0,0,0,0,0,0,0,1
eternity,0,0,3,0,0,0,0,0,0,0,0,0
etherise,0,0,0,1,0,0,0,0,0,0,0,0
ethnicity,0,1,0,0,0,0,0,0,0,0,0,0
europe,0,4,0,0,0,0,0,0,0,0,1,0
eva,0,0,1,0,0,0,0,0,0,0,0,0
eve,0,0,0,0,0,0,1,0,0,0,0,3
evel,0,1,0,0,0,0,0,0,0,0,0,0
evening,0,0,0,1,0,0,0,1,0,0,1,0
event,0,1,2,0,0,0,0,0,0,0,0,0
eventually,0,0,1,0,0,1,0,1,1,1,4,2
everybody,11,11,0,3,22,0,1,10,8,4,1,19
evidence,0,0,1,0,0,0,0,0,0,0,0,0
evil,0,0,1,0,1,0,0,0,1,0,0,1
evolution,0,0,2,0,0,0,0,0,0,0,0,2
evolutionary,0,0,0,1,0,0,0,0,0,0,0,0
evolve,1,0,0,0,0,0,0,0,0,0,0,4
evolved,0,0,0,0,0,0,0,1,0,0,0,0
eww,0,2,0,0,0,0,0,0,0,0,0,0
ex,0,0,0,0,0,0,1,0,0,0,0,0
exact,0,0,0,1,0,0,0,0,1,2,0,0
exactly,0,1,0,0,1,1,1,0,0,2,2,7
exaggeration,0,0,0,0,0,0,0,0,0,0,0,1
example,1,0,1,1,0,2,0,0,0,0,3,1
exboyfriend,0,0,0,0,0,0,0,0,0,0,2,0
excellent,0,0,0,0,0,2,0,0,0,0,0,0
exchange,0,0,0,0,0,0,0,1,0,0,1,0
excite,0,0,1,0,0,1,0,0,0,0,0,0
excited,2,1,0,0,0,3,2,1,0,1,2,1
exciting,0,1,0,0,0,1,1,0,2,0,1,0
exclamation,0,0,0,1,0,0,0,0,0,0,0,0
exclude,0,0,0,0,0,0,2,0,0,0,0,0
exclusively,0,0,0,1,0,0,0,0,0,0,0,0
excuse,1,4,1,1,0,0,2,0,0,0,0,0
exec,0,1,0,0,0,0,0,0,0,0,0,0
executive,0,0,0,0,0,1,0,0,1,0,0,0
exercise,0,0,0,0,0,0,0,0,0,0,2,0
exfoliate,0,0,0,0,0,0,0,0,1,0,0,0
exgirlfriend,0,0,0,0,0,1,0,0,0,0,0,0
exist,0,0,5,0,1,2,1,0,0,0,2,0
existence,1,0,1,0,0,0,0,0,1,0,0,0
existential,0,0,0,1,0,0,0,0,0,0,0,0
exorcist,0,0,0,0,0,0,1,0,0,0,0,0
expat,0,1,0,0,0,0,0,0,0,0,0,0
expect,0,1,1,1,0,0,1,0,1,0,1,3
expectancy,1,0,0,0,0,0,0,0,0,0,0,0
expectation,0,0,0,0,0,0,0,0,0,1,0,0
expedition,0,0,0,0,0,0,0,1,0,0,0,0
expel,0,0,0,0,0,0,0,0,0,0,1,0
expense,0,0,0,0,0,1,0,0,0,0,0,1
expensive,0,0,1,0,0,0,0,0,0,1,0,0
experience,2,2,0,0,0,4,0,2,2,0,5,2
experiment,0,0,0,0,0,0,1,0,0,0,0,0
experimentation,0,0,0,1,0,0,0,0,0,0,0,0
expert,0,0,1,0,0,0,0,0,0,0,1,0
explain,1,1,1,0,1,1,2,1,1,1,5,3
explode,0,1,0,0,0,0,1,1,2,0,0,0
expose,0,0,1,0,0,0,0,0,0,0,0,0
expression,0,0,0,0,0,0,4,0,1,0,0,0
extend,0,0,0,0,2,0,0,0,0,0,0,0
extended,0,0,0,0,0,0,1,0,0,0,0,0
extra,0,0,0,0,0,2,0,0,0,1,0,2
extraordinarily,0,0,0,0,0,1,0,0,0,0,0,0
extremely,0,0,0,0,0,0,0,0,2,0,0,0
exwife,1,0,0,0,0,0,0,0,0,0,0,1
eye,3,4,1,23,2,1,3,1,7,1,1,3
eyeball,0,0,0,0,0,0,0,0,1,0,0,0
eyebrow,0,0,0,0,2,0,0,0,1,0,0,0
eyelash,0,0,0,0,0,0,0,0,1,0,0,0
eyelid,0,0,0,0,0,0,0,0,1,0,0,0
face,6,10,3,2,5,11,5,6,5,4,4,3
facebook,4,0,1,1,3,1,0,6,1,1,0,0
fact,4,2,5,4,4,2,0,0,0,3,1,5
factor,0,0,1,0,0,0,0,0,0,0,0,3
factory,1,1,0,0,1,0,0,0,1,0,0,0
fade,1,1,0,0,0,0,0,0,0,0,0,0
fag,0,1,0,3,0,0,0,0,0,0,0,0
faggot,0,0,1,2,0,0,0,0,0,0,0,1
fail,1,1,0,1,1,0,0,0,0,2,2,0
fair,2,0,1,0,3,2,1,2,0,0,0,1
fairy,0,0,0,2,2,0,0,0,0,0,0,1
faithful,0,0,0,0,0,0,0,0,0,0,1,0
fake,0,0,0,0,1,0,0,0,0,2,0,2
fall,2,2,5,2,7,0,3,3,0,1,8,1
fallon,0,0,3,0,0,0,0,0,0,0,0,0
false,0,0,0,0,0,0,1,0,0,0,0,0
fam,0,0,0,0,0,0,0,1,0,0,0,0
fame,0,0,0,0,1,0,0,1,1,1,0,0
familiar,0,3,1,0,0,0,1,0,0,0,1,0
family,0,1,4,1,8,7,8,10,3,15,3,0
familyactioncomedy,0,0,0,0,0,0,1,0,0,0,0,0
famine,0,0,1,0,0,0,0,0,0,0,0,0
famous,0,2,4,0,0,2,1,0,1,1,1,0
fan,0,2,1,1,2,3,0,0,0,2,1,0
fancy,1,0,0,0,0,0,0,0,2,0,2,0
fang,0,0,1,0,0,0,0,0,0,0,0,0
fanny,0,0,0,1,0,0,0,0,0,0,0,0
fantasize,0,0,1,0,0,0,0,0,0,1,0,0
fantastic,0,0,1,0,0,0,1,0,0,0,0,1
fantasy,1,0,0,0,0,0,0,0,1,0,1,0
far,1,1,2,2,4,1,1,1,1,0,0,1
farfetched,0,0,1,0,0,0,0,0,0,0,0,0
farm,1,0,0,3,0,0,0,0,0,0,0,0
farmer,0,0,0,0,0,0,2,0,0,0,0,0
fart,0,0,0,0,1,0,0,0,0,0,0,1
fashion,0,1,0,1,0,0,0,0,1,0,0,0
fast,1,1,1,1,1,2,2,1,0,0,4,0
fat,2,0,7,0,3,2,2,0,0,0,0,1
fatal,0,0,2,0,0,0,0,0,0,0,0,0
father,3,1,0,5,1,13,0,10,0,1,0,1
fatherinlaw,0,0,0,0,0,0,0,0,1,0,0,0
fault,1,0,1,0,1,2,0,0,1,1,3,0
favor,0,1,0,0,0,2,0,0,0,1,0,0
favorite,1,0,2,1,0,1,1,1,0,7,1,3
fear,0,3,1,0,5,0,0,3,2,0,4,2
feather,0,0,0,0,1,0,0,0,0,0,0,3
feature,0,0,0,1,0,0,0,0,0,0,1,0
february,0,0,0,0,0,0,0,0,0,0,1,0
federal,0,1,0,0,0,0,0,0,0,0,0,0
feed,0,0,1,0,0,0,0,0,3,0,0,0
feel,8,13,4,13,17,1,7,11,12,2,25,2
feeling,1,0,1,4,1,1,0,0,0,0,0,0
feels,0,0,0,0,0,0,0,0,1,0,0,0
fella,0,0,0,4,0,1,1,0,0,0,0,0
felony,0,0,0,1,0,0,0,0,0,0,0,0
female,0,0,0,2,4,1,1,0,4,0,2,1
feminism,0,0,0,0,0,0,0,0,1,0,0,0
feminist,0,1,0,0,0,0,0,0,0,0,0,0
fence,0,0,3,0,1,0,0,1,0,0,0,1
fender,0,0,0,1,0,0,0,0,0,0,0,0
feng,0,0,0,0,0,0,0,0,1,0,0,0
ferrero,0,0,1,0,0,0,0,0,0,0,0,0
ferris,0,0,0,0,0,0,1,0,0,0,1,0
fertile,0,0,0,0,0,0,0,0,0,0,0,1
fest,0,0,0,0,0,0,0,0,1,0,0,0
festival,0,0,1,0,0,0,0,0,0,0,0,0
fett,0,0,0,0,0,0,0,0,1,0,0,0
fetus,0,0,3,0,0,0,0,0,0,0,0,0
feud,0,0,1,0,0,0,0,0,0,0,0,0
fiancée,0,0,0,0,0,0,0,1,0,0,0,0
fiber,0,0,0,0,0,0,0,0,1,0,0,0
fiction,0,0,0,0,0,0,0,0,0,0,0,1
fidget,0,0,0,0,0,0,0,0,0,0,3,0
fidgety,0,0,0,0,0,0,0,0,0,0,1,0
field,0,1,0,0,0,0,0,0,0,0,1,1
fiery,0,0,0,0,0,0,0,0,0,0,1,0
fifth,0,0,0,0,2,0,0,0,1,1,0,0
fiftyeight,0,0,1,0,0,0,0,0,0,0,0,0
fiftyfour,0,1,0,0,0,0,0,0,0,0,0,0
fight,2,7,2,2,6,4,1,3,1,6,1,1
fighter,0,0,0,0,0,1,0,0,0,0,0,0
figure,1,2,0,1,9,0,0,0,0,1,0,8
filipino,0,2,0,0,0,0,0,0,1,0,0,0
film,0,0,3,0,0,0,0,0,0,0,0,0
filth,1,0,0,0,0,0,0,0,0,0,0,0
filthy,0,0,0,0,0,0,0,0,1,0,0,0
fin,1,0,0,0,0,0,0,0,0,0,0,0
final,0,0,0,0,0,1,0,0,0,0,2,0
finally,0,1,1,3,6,0,0,1,3,1,3,0
financial,0,0,0,0,0,0,0,0,1,0,0,0
financially,0,0,0,0,0,0,0,0,2,1,0,0
finch,0,0,0,0,0,0,11,0,0,0,0,0
